player_id,player_name,match_played,value,team_id,team,team_name,rank,position_id,position_name,team_full_name,points_per_match
2024,Arjun Deshwal,24,296,3,,JAI,1,8,Raider,Jaipur Pink Panthers,12.333333333333334
4944,Bharat,23,282,1,,BLR,2,8,Raider,Bengaluru Bulls,12.26086956521739
2296,Naveen Kumar,23,258,2,,DEL,3,8,Raider,Dabang Delhi K.C.,11.217391304347826
5093,Narender,23,249,29,,CHE,4,8,Raider,Tamil Thalaivas,10.826086956521738
143,Maninder Singh,21,240,4,,KOL,5,8,Raider,Bengal Warriors,11.428571428571429
197,Pardeep Narwal,22,220,30,,U.P.,6,8,Raider,U.P. Yoddhas,10.0
5124,Parteek Dahiya,19,183,31,,GUJ,7,0,All-Rounder,Gujarat Giants,9.631578947368421
757,Sachin,20,179,6,,PAT,8,8,Raider,Patna Pirates,8.95
763,Manjeet,22,163,28,,HAR,9,8,Raider,Haryana Steelers,7.409090909090909
4947,Ashu Malik,23,158,2,,DEL,10,8,Raider,Dabang Delhi K.C.,6.869565217391305
4960,Aslam Inamdar,17,150,7,,PUN,11,8,Raider,Puneri Paltan,8.823529411764707
3023,Rohit Gulia,19,148,6,,PAT,12,0,All-Rounder,Patna Pirates,7.7894736842105265
3241,Surender Gill,14,145,30,,U.P.,13,8,Raider,U.P. Yoddhas,10.357142857142858
2026,Siddharth Desai,17,144,8,,HYD,14,8,Raider,Telugu Titans,8.470588235294118
4959,Akash Shinde,22,142,7,,PUN,15,8,Raider,Puneri Paltan,6.454545454545454
3097,Ajinkya Pawar,22,141,29,,CHE,16,8,Raider,Tamil Thalaivas,6.409090909090909
366,Vikash Kandola,24,139,1,,BLR,17,8,Raider,Bengaluru Bulls,5.791666666666667
3032,Guman Singh,18,137,5,,MUM,18,8,Raider,U Mumba,7.611111111111111
4022,Mohit Goyat,17,137,7,,PUN,19,8,Raider,Puneri Paltan,8.058823529411764
4183,Meetu Sharma,20,137,28,,HAR,20,8,Raider,Haryana Steelers,6.85
3966,Rakesh,17,133,31,,GUJ,21,8,Raider,Gujarat Giants,7.823529411764706
106,Shrikant Jadhav,21,129,4,,KOL,22,8,Raider,Bengal Warriors,6.142857142857143
3028,Ashish,21,120,5,,MUM,23,8,Raider,U Mumba,5.714285714285714
3038,Neeraj Narwal,24,115,1,,BLR,24,8,Raider,Bengaluru Bulls,4.791666666666667
3053,V Ajith Kumar,21,103,3,,JAI,25,8,Raider,Jaipur Pink Panthers,4.904761904761905
36,Chandran Ranjit,17,99,31,,GUJ,26,8,Raider,Gujarat Giants,5.823529411764706
3574,Ankush,24,89,3,,JAI,27,0,Defender - Left Corner,Jaipur Pink Panthers,3.7083333333333335
4925,Mohammadreza Chiyaneh,20,89,6,,PAT,28,0,All-Rounder,Patna Pirates,4.45
4222,Rohit Tomar,18,86,30,,U.P.,29,8,Raider,U.P. Yoddhas,4.777777777777778
3081,Vijay Malik,11,82,2,,DEL,30,0,All-Rounder,Dabang Delhi K.C.,7.454545454545454
5002,Jai Bhagwan,19,82,5,,MUM,31,8,Raider,U Mumba,4.315789473684211
81,Rahul Chaudhari,21,73,3,,JAI,32,8,Raider,Jaipur Pink Panthers,3.4761904761904763
3228,Saurabh Nandal,24,73,1,,BLR,33,0,Defender - Left Corner,Bengaluru Bulls,3.0416666666666665
3965,Manjeet,20,69,2,,DEL,34,8,Raider,Dabang Delhi K.C.,3.45
368,Sunil Kumar,23,65,3,,JAI,35,9,Defender,Jaipur Pink Panthers,2.8260869565217392
3233,Pankaj Mohite,13,60,7,,PUN,36,8,Raider,Puneri Paltan,4.615384615384615
3161,Himanshu,23,60,29,,CHE,37,0,Defender - Left Corner,Tamil Thalaivas,2.608695652173913
4972,Aman,24,60,1,,BLR,38,0,Defender - Left Corner,Bengaluru Bulls,2.5
3964,Rinku,19,59,5,,MUM,39,0,Defender - Right Corner,U Mumba,3.1052631578947367
2028,Abhishek Singh,16,59,8,,HYD,40,8,Raider,Telugu Titans,3.6875
357,Parvesh Bhainswal,21,58,8,,HYD,41,0,Defender - Left Cover,Telugu Titans,2.761904761904762
3159,Vishal,22,58,2,,DEL,42,0,Defender - Left Cover,Dabang Delhi K.C.,2.6363636363636362
4184,Jaideep Dahiya,21,57,28,,HAR,43,0,Defender - Left Cover,Haryana Steelers,2.7142857142857144
4769,Sahul Kumar,24,57,3,,JAI,44,0,Defender - Right Corner,Jaipur Pink Panthers,2.375
4965,Sahil Gulia,23,57,29,,CHE,45,0,Defender - Left Corner,Tamil Thalaivas,2.4782608695652173
3240,Sumit,21,56,30,,U.P.,46,0,Defender - Left Corner,U.P. Yoddhas,2.6666666666666665
259,Fazel Atrachali,21,56,7,,PUN,47,9,Defender,Puneri Paltan,2.6666666666666665
41,Deepak Hooda,17,56,4,,KOL,48,0,All-Rounder,Bengal Warriors,3.2941176470588234
163,Mahendra Rajput,15,54,31,,GUJ,49,8,Raider,Gujarat Giants,3.6
3236,Sagar,17,53,29,,CHE,50,0,Defender - Right Corner,Tamil Thalaivas,3.1176470588235294
161,Girish Maruti Ernak,18,51,4,,KOL,51,0,Defender - Left Corner,Bengal Warriors,2.8333333333333335
204,Rakesh Narwal,15,50,28,,HAR,52,8,Raider,Haryana Steelers,3.3333333333333335
4963,Himanshu Singh,18,50,29,,CHE,53,8,Raider,Tamil Thalaivas,2.7777777777777777
