player-super-raids_player_name,player-total-points_player_name,super-10s_player_name,player-successful-raids_player_name,player-super-tackles_player_name,player-avg-tackle-points_player_name,player-dod-raid-points_player_name,player-raid-points_player_name,player-successful-tackles_player_name,high-5s_player_name,player-tackle-points_player_name,player-super-raids_match_played,player-total-points_match_played,super-10s_match_played,player-successful-raids_match_played,player-super-tackles_match_played,player-avg-tackle-points_match_played,player-dod-raid-points_match_played,player-raid-points_match_played,player-successful-tackles_match_played,high-5s_match_played,player-tackle-points_match_played,player-super-raids_position_name,player-total-points_position_name,super-10s_position_name,player-successful-raids_position_name,player-super-tackles_position_name,player-avg-tackle-points_position_name,player-dod-raid-points_position_name,player-raid-points_position_name,player-successful-tackles_position_name,high-5s_position_name,player-tackle-points_position_name,player-super-raids_team,player-total-points_team,super-10s_team,player-successful-raids_team,player-super-tackles_team,player-avg-tackle-points_team,player-dod-raid-points_team,player-raid-points_team,player-successful-tackles_team,high-5s_team,player-tackle-points_team,player-super-raids_team_name,player-total-points_team_name,super-10s_team_name,player-successful-raids_team_name,player-super-tackles_team_name,player-avg-tackle-points_team_name,player-dod-raid-points_team_name,player-raid-points_team_name,player-successful-tackles_team_name,high-5s_team_name,player-tackle-points_team_name,player-super-raids_team_full_name,player-total-points_team_full_name,super-10s_team_full_name,player-successful-raids_team_full_name,player-super-tackles_team_full_name,player-avg-tackle-points_team_full_name,player-dod-raid-points_team_full_name,player-raid-points_team_full_name,player-successful-tackles_team_full_name,high-5s_team_full_name,player-tackle-points_team_full_name,player-super-raids_rank,player-total-points_rank,super-10s_rank,player-successful-raids_rank,player-super-tackles_rank,player-avg-tackle-points_rank,player-dod-raid-points_rank,player-raid-points_rank,player-successful-tackles_rank,high-5s_rank,player-tackle-points_rank,player-super-raids_value,player-total-points_value,super-10s_value,player-successful-raids_value,player-super-tackles_value,player-avg-tackle-points_value,player-dod-raid-points_value,player-raid-points_value,player-successful-tackles_value,high-5s_value,player-tackle-points_value,player-super-raids_points_per_match,player-total-points_points_per_match,super-10s_points_per_match,player-successful-raids_points_per_match,player-super-tackles_points_per_match,player-avg-tackle-points_points_per_match,player-dod-raid-points_points_per_match,player-raid-points_points_per_match,player-successful-tackles_points_per_match,high-5s_points_per_match,player-tackle-points_points_per_match,player-super-raids_team_id,player-total-points_team_id,super-10s_team_id,player-successful-raids_team_id,player-super-tackles_team_id,player-avg-tackle-points_team_id,player-dod-raid-points_team_id,player-raid-points_team_id,player-successful-tackles_team_id,high-5s_team_id,player-tackle-points_team_id,player-super-raids_position_id,player-total-points_position_id,super-10s_position_id,player-successful-raids_position_id,player-super-tackles_position_id,player-avg-tackle-points_position_id,player-dod-raid-points_position_id,player-raid-points_position_id,player-successful-tackles_position_id,high-5s_position_id,player-tackle-points_position_id
Chandran Ranjit,Chandran Ranjit,Chandran Ranjit,Chandran Ranjit,,Chandran Ranjit,Chandran Ranjit,Chandran Ranjit,Chandran Ranjit,,Chandran Ranjit,17.0,17,17.0,17.0,,17.0,17.0,17.0,17.0,,17.0,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,,Raider,,,,,,,,,,,,GUJ,GUJ,GUJ,GUJ,,GUJ,GUJ,GUJ,GUJ,,GUJ,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,,Gujarat Giants,11.0,26,25.0,25.0,,148.0,35.0,25.0,110.0,,117.0,5.0,99,2.0,73.0,,0.24,7.0,95.0,4.0,,4.0,0.2941176470588235,5.823529411764706,0.1176470588235294,4.294117647058823,,0.0141176470588235,0.4117647058823529,5.588235294117647,0.2352941176470588,,0.2352941176470588,31.0,31,31.0,31.0,,31.0,31.0,31.0,31.0,,31.0,8.0,8,8.0,8.0,,8.0,8.0,8.0,8.0,,8.0
Deepak Hooda,Deepak Hooda,,Deepak Hooda,,Deepak Hooda,Deepak Hooda,Deepak Hooda,Deepak Hooda,,Deepak Hooda,17.0,17,,17.0,,17.0,17.0,17.0,17.0,,17.0,All-Rounder,All-Rounder,,All-Rounder,,All-Rounder,All-Rounder,All-Rounder,All-Rounder,,All-Rounder,,,,,,,,,,,,KOL,KOL,,KOL,,KOL,KOL,KOL,KOL,,KOL,Bengal Warriors,Bengal Warriors,,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,Bengal Warriors,27.0,48,,35.0,,110.0,24.0,36.0,75.0,,78.0,2.0,56,,37.0,,0.53,14.0,47.0,9.0,,9.0,0.1176470588235294,3.2941176470588234,,2.176470588235294,,0.0311764705882352,0.8235294117647058,2.764705882352941,0.5294117647058824,,0.5294117647058824,4.0,4,,4.0,,4.0,4.0,4.0,4.0,,4.0,0.0,0,,0.0,,0.0,0.0,0.0,0.0,,0.0
Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,,Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,,Rahul Chaudhari,21.0,21,21.0,21.0,,21.0,21.0,21.0,21.0,,21.0,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,,Raider,,,,,,,,,,,,JAI,JAI,JAI,JAI,,JAI,JAI,JAI,JAI,,JAI,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,53.0,32,26.0,27.0,,169.0,34.0,29.0,143.0,,145.0,1.0,73,2.0,56.0,,0.1,7.0,71.0,2.0,,2.0,0.0476190476190476,3.4761904761904763,0.0952380952380952,2.6666666666666665,,0.0047619047619047,0.3333333333333333,3.380952380952381,0.0952380952380952,,0.0952380952380952,3.0,3,3.0,3.0,,3.0,3.0,3.0,3.0,,3.0,8.0,8,8.0,8.0,,8.0,8.0,8.0,8.0,,8.0
Shrikant Jadhav,Shrikant Jadhav,Shrikant Jadhav,Shrikant Jadhav,,Shrikant Jadhav,Shrikant Jadhav,Shrikant Jadhav,Shrikant Jadhav,,Shrikant Jadhav,21.0,21,21.0,21.0,,21.0,21.0,21.0,21.0,,21.0,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,,Raider,,,,,,,,,,,,KOL,KOL,KOL,KOL,,KOL,KOL,KOL,KOL,,KOL,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,Bengal Warriors,6.0,22,27.0,22.0,,136.0,18.0,21.0,92.0,,97.0,6.0,129,2.0,95.0,,0.29,17.0,123.0,6.0,,6.0,0.2857142857142857,6.142857142857143,0.0952380952380952,4.523809523809524,,0.0138095238095238,0.8095238095238095,5.857142857142857,0.2857142857142857,,0.2857142857142857,4.0,4,4.0,4.0,,4.0,4.0,4.0,4.0,,4.0,8.0,8,8.0,8.0,,8.0,8.0,8.0,8.0,,8.0
,Vishal Mane,,,,Vishal Mane,,,Vishal Mane,,Vishal Mane,,1,,,,1.0,,,1.0,,1.0,,Defender,,,,Defender,,,Defender,,Defender,,,,,,,,,,,,,MUM,,,,MUM,,,MUM,,MUM,,U Mumba,,,,U Mumba,,,U Mumba,,U Mumba,,205,,,,83.0,,,154.0,,164.0,,1,,,,1.0,,,1.0,,1.0,,1.0,,,,1.0,,,1.0,,1.0,,5,,,,5.0,,,5.0,,5.0,,9,,,,9.0,,,9.0,,9.0
,Sandeep Narwal,,Sandeep Narwal,Sandeep Narwal,Sandeep Narwal,,Sandeep Narwal,Sandeep Narwal,Sandeep Narwal,Sandeep Narwal,,7,,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,,All Rounder,,All Rounder,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,U.P.,,U.P.,U.P.,U.P.,,U.P.,U.P.,U.P.,U.P.,,U.P. Yoddhas,,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,,102,,64.0,76.0,42.0,,70.0,69.0,33.0,69.0,,22,,8.0,1.0,1.71,,10.0,11.0,1.0,12.0,,3.142857142857143,,1.1428571428571428,0.1428571428571428,0.2442857142857142,,1.4285714285714286,1.5714285714285714,0.1428571428571428,1.7142857142857142,,30,,30.0,30.0,30.0,,30.0,30.0,30.0,30.0,,0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Maninder Singh,Maninder Singh,Maninder Singh,Maninder Singh,,Maninder Singh,Maninder Singh,Maninder Singh,Maninder Singh,,Maninder Singh,21.0,21,21.0,21.0,,21.0,21.0,21.0,21.0,,21.0,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,,Raider,,,,,,,,,,,,KOL,KOL,KOL,KOL,,KOL,KOL,KOL,KOL,,KOL,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,Bengal Warriors,1.0,5,5.0,5.0,,170.0,16.0,5.0,144.0,,146.0,11.0,240,14.0,180.0,,0.1,19.0,238.0,2.0,,2.0,0.5238095238095238,11.428571428571429,0.6666666666666666,8.571428571428571,,0.0047619047619047,0.9047619047619048,11.333333333333334,0.0952380952380952,,0.0952380952380952,4.0,4,4.0,4.0,,4.0,4.0,4.0,4.0,,4.0,8.0,8,8.0,8.0,,8.0,8.0,8.0,8.0,,8.0
,Surender Nada,,,,Surender Nada,,,Surender Nada,,Surender Nada,,10,,,,10.0,,,10.0,,10.0,,Defender - Left Corner,,,,Defender - Left Corner,,,Defender - Left Corner,,Defender - Left Corner,,,,,,,,,,,,,KOL,,,,KOL,,,KOL,,KOL,,Bengal Warriors,,,,Bengal Warriors,,,Bengal Warriors,,Bengal Warriors,,127,,,,73.0,,,70.0,,70.0,,11,,,,1.1,,,11.0,,11.0,,1.1,,,,0.11,,,1.1,,1.1,,4,,,,4.0,,,4.0,,4.0,,0,,,,0.0,,,0.0,,0.0
,Prashanth Kumar Rai,,Prashanth Kumar Rai,,,,Prashanth Kumar Rai,,,,,3,,3.0,,,,3.0,,,,,Raider,,Raider,,,,Raider,,,,,,,,,,,,,,,,GUJ,,GUJ,,,,GUJ,,,,,Gujarat Giants,,Gujarat Giants,,,,Gujarat Giants,,,,,189,,92.0,,,,104.0,,,,,2,,2.0,,,,2.0,,,,,0.6666666666666666,,0.6666666666666666,,,,0.6666666666666666,,,,,31,,31.0,,,,31.0,,,,,8,,8.0,,,,8.0,,,
,Ravinder Pahal,,,,Ravinder Pahal,,,Ravinder Pahal,,Ravinder Pahal,,4,,,,4.0,,,4.0,,4.0,,Defender - Right Corner,,,,Defender - Right Corner,,,Defender - Right Corner,,Defender - Right Corner,,,,,,,,,,,,,HYD,,,,HYD,,,HYD,,HYD,,Telugu Titans,,,,Telugu Titans,,,Telugu Titans,,Telugu Titans,,204,,,,145.0,,,153.0,,163.0,,1,,,,0.25,,,1.0,,1.0,,0.25,,,,0.0625,,,0.25,,0.25,,8,,,,8.0,,,8.0,,8.0,,0,,,,0.0,,,0.0,,0.0
